Timestamp;Value
2022-09-12;17.1059
2022-09-09;17.2840
2022-09-08;17.3426
2022-09-07;17.3675
2022-09-06;17.1297
2022-09-05;17.3256
2022-09-02;17.3139
2022-09-01;17.1363
2022-08-31;17.0250
2022-08-30;16.7849
2022-08-29;16.9340
2022-08-26;16.8291
2022-08-25;16.8570
2022-08-24;17.0391
2022-08-23;17.0350
2022-08-22;17.0619
2022-08-19;16.8918
2022-08-18;16.7221
2022-08-17;16.4668
2022-08-16;16.4718
2022-08-15;16.3237
2022-08-12;16.1698
2022-08-11;16.2519
2022-08-10;16.5632
2022-08-08;16.7056
2022-08-05;16.5781
2022-08-04;16.7791
2022-08-03;16.6913
2022-08-02;16.4792
2022-08-01;16.4870
2022-07-29;16.5087
2022-07-28;16.6962
2022-07-27;16.8511
2022-07-26;16.7122
2022-07-25;16.8119
2022-07-22;17.0160
2022-07-21;17.2318
2022-07-20;17.1384
2022-07-19;17.0267
2022-07-18;16.9801
2022-07-15;17.2362
2022-07-14;17.0374
2022-07-13;17.0117
2022-07-12;17.1309
2022-07-11;16.9723
2022-07-08;16.8419
2022-07-07;16.7918
2022-07-06;16.6949
2022-07-05;16.4111
2022-07-04;16.3523
2022-07-01;16.3482
2022-06-30;16.2511
2022-06-29;16.1338
2022-06-28;15.8761
2022-06-27;15.8247
2022-06-24;15.9334
2022-06-23;16.0061
2022-06-22;16.0044
2022-06-21;15.9199
2022-06-20;16.0371
2022-06-17;15.9196
2022-06-15;16.0013
2022-06-14;16.0920
2022-06-13;16.0474
2022-06-10;15.4804
2022-06-09;15.2030
2022-06-08;15.3476
2022-06-07;15.4189
2022-06-06;15.3608
2022-06-03;15.4117
2022-06-02;15.5202
2022-06-01;15.5338
2022-05-31;15.5455
2022-05-30;15.5162
2022-05-27;15.6402
2022-05-26;15.7280
2022-05-25;15.6571
2022-05-24;15.7668
2022-05-23;15.8356
2022-05-20;15.8428
2022-05-19;16.0444
2022-05-18;15.9475
2022-05-17;16.0470
2022-05-16;16.2448
2022-05-13;16.0337
2022-05-12;16.2215
2022-05-11;16.0530
2022-05-10;16.1257
2022-05-09;16.1691
2022-05-06;16.0525
2022-05-05;15.6313
2022-05-04;15.8516
2022-05-03;16.0312
2022-04-29;15.8889
2022-04-28;15.8762
2022-04-26;15.7413
2022-04-25;15.6410
2022-04-22;15.4949
2022-04-21;15.1976
2022-04-20;15.0687
2022-04-19;14.7084
2022-04-14;14.6483
2022-04-13;14.4560
2022-04-12;14.5524
2022-04-11;14.6230
2022-04-08;14.7138
2022-04-07;14.7201
2022-04-06;14.6638
2022-04-05;14.5410
2022-04-04;14.5838
2022-04-01;14.5810
2022-03-31;14.4705
2022-03-30;14.4699
2022-03-29;14.6888
2022-03-28;14.5392
2022-03-25;14.5430
2022-03-24;14.7658
2022-03-23;14.8161
2022-03-22;14.8844
2022-03-18;14.9391
2022-03-17;14.9188
2022-03-16;15.0519
2022-03-15;15.1058
2022-03-14;15.1160
2022-03-11;15.0824
2022-03-10;15.0810
2022-03-09;15.1549
2022-03-08;15.2774
2022-03-07;15.3949
2022-03-04;15.2827
2022-03-03;15.3101
2022-03-02;15.4697
2022-03-01;15.2996
2022-02-28;15.4488
2022-02-25;15.3260
2022-02-24;15.2660
2022-02-23;15.0188
2022-02-22;15.1860
2022-02-21;15.1015
2022-02-18;14.9354
2022-02-17;15.0097
2022-02-16;15.0599
2022-02-15;15.0040
2022-02-14;15.1965
2022-02-11;15.1005
2022-02-10;15.1408
2022-02-09;15.3338
2022-02-08;15.5402
2022-02-07;15.4590
2022-02-04;15.2606
2022-02-03;15.3907
